,,feature_read_pairs,raw_read_pairs,raw_read_pairs_in_filtered_barcodes,usable_read_pairs,on_target_usable_read_pairs
GEMX,F1A,625350153,908983518,804032618,580246320,
GEMX,F1B,619234218,930569568,817754850,574966329,
GEMX,F5A,532344184,791520116,689970050,490111595,
GEMX,F5B,502326136,755813090,658474338,462220510,
NextGEM,F1A,296901946,400460917,374454845,280130449,
NextGEM,F1B,298239275,401280703,373537388,280127535,
NextGEM,F5A,241558499,320600301,299479150,227140309,
NextGEM,F5B,243014334,327857077,306500788,228620333,
flex,F1A,214887569,219122175,210476984,206499709,202213449.0
flex,F1B,245010845,249728542,240895916,236425543,231565643.0
flex,F5A,243039481,247839552,238566513,234029941,229202214.0
flex,F5B,216791762,220951156,212293616,208368315,204127352.0
