sample,chain,recovery
GEMX5P_F1,TRA,88.38
GEMX5P_F1,TRB,98.15
GEMX5P_F1,paired,90.23
GEMX5P_F2,TRA,93.34
GEMX5P_F2,TRB,98.55
GEMX5P_F2,paired,91.89
GEMX5P_F5,TRA,89.47
GEMX5P_F5,TRB,98.40
GEMX5P_F5,paired,87.87
GEMX5P_F4,TRA,89.85
GEMX5P_F4,TRB,98.76
GEMX5P_F4,paired,88.61
NextGEM5P_F1,TRA,83.19
NextGEM5P_F1,TRB,97.79
NextGEM5P_F1,paired,80.98
NextGEM5P_F2,TRA,84.7
NextGEM5P_F2,TRB,97.89
NextGEM5P_F2,paired,82.60
NextGEM5P_F5,TRA,43.64
NextGEM5P_F5,TRB,98.57
NextGEM5P_F5,paired,42.21
NextGEM5P_F4,TRA,39.10
NextGEM5P_F4,TRB,99.06
NextGEM5P_F4,paired,38.16
parse_v2_F1,TRA,67.4
parse_v2_F1,TRB,72.3
parse_v2_F1,paired,39.7
parse_v2_F2,TRA,72.6
parse_v2_F2,TRB,74.6
parse_v2_F2,paired,47.2
parse_v2_F5,TRA,71.3
parse_v2_F5,TRB,74.6
parse_v2_F5,paired,45.9
parse_v2_F4,TRA,66.0
parse_v2_F4,TRB,79.1
parse_v2_F4,paired,45.1
